date,variant,prop_median,prop_ci_low,prop_ci_high
2021-12-07,B.1.1.7 (Alpha),1.7917973305426411e-4,8.229090653563074e-5,3.535566864147179e-4
2021-12-07,B.1.617.2 (Delta),0.993124267384135,0.986906244462708,0.9972502900000375
2021-12-08,B.1.1.529 (Omikron),0.008227962469616244,0.003273371557116585,0.0157064397427559
2021-12-08,B.1.1.7 (Alpha),1.804474911277592e-4,8.135630882402194e-5,3.5812887664530885e-4
2021-12-08,B.1.617.2 (Delta),0.9915887594436017,0.9841435631725466,0.9965251865827989
2021-12-09,B.1.1.529 (Omikron),0.0101391864720358,0.004216759034319199,0.019357517980393063
2021-12-09,B.1.1.7 (Alpha),1.8175616883830378e-4,8.132656446176543e-5,3.606694296577177e-4
2021-12-09,B.1.617.2 (Delta),0.9896696569203571,0.980532552478839,0.9955978665888433
2021-12-10,B.1.1.529 (Omikron),0.012441294173748431,0.005148951434356615,0.023558272763425012
2021-12-10,B.1.1.7 (Alpha),1.8284356462713956e-4,8.125947930525944e-5,3.6320703742157554e-4
2021-12-10,B.1.617.2 (Delta),0.9873546414664001,0.976204410886864,0.9946168528091452
2021-12-11,B.1.1.529 (Omikron),0.015332349421283035,0.00660453034619234,0.029269203566031278
2021-12-11,B.1.1.7 (Alpha),1.8370330296732884e-4,8.057493857961188e-5,3.6705506210802177e-4
2021-12-11,B.1.617.2 (Delta),0.9845026332492204,0.9706005943838845,0.9932357869672891
2021-12-12,B.1.1.529 (Omikron),0.018949688397012117,0.008372504912721115,0.03560712769379765
2021-12-12,B.1.1.7 (Alpha),1.8434126674991282e-4,8.134725863369574e-5,3.7067604983653097e-4
2021-12-12,B.1.617.2 (Delta),0.9808765058497334,0.9640884784962743,0.9913520354387654
2021-12-13,B.1.1.529 (Omikron),0.023498093585756802,0.01040476155529453,0.04398120360761518
2021-12-13,B.1.1.7 (Alpha),1.8439474309993897e-4,8.028204409289221e-5,3.7540204361365527e-4
2021-12-13,B.1.617.2 (Delta),0.9763337982618121,0.955898997782441,0.9893249819112633
2021-12-14,B.1.1.529 (Omikron),0.028982413846479253,0.013025859198845474,0.053701923801193194
2021-12-14,B.1.1.7 (Alpha),1.8451232213409204e-4,7.904843899344978e-5,3.799936666545624e-4
2021-12-14,B.1.617.2 (Delta),0.9706880810188221,0.9460174711223989,0.9867867625664156
2021-12-15,B.1.1.529 (Omikron),0.035855214919024644,0.01642886134943989,0.06571366772247655
2021-12-15,B.1.1.7 (Alpha),1.843160873748792e-4,7.79576758777918e-5,3.8375724857945827e-4
2021-12-15,B.1.617.2 (Delta),0.9639643080622214,0.9340016236189703,0.9833503239839602
2021-12-16,B.1.1.529 (Omikron),0.043855389408093096,0.019882165392819624,0.08016667464634153
2021-12-16,B.1.1.7 (Alpha),1.8292007952026384e-4,7.760940133248063e-5,3.8472081400579275e-4
2021-12-16,B.1.617.2 (Delta),0.9559119873491371,0.9196162655574155,0.9799577264513115
2021-12-17,B.1.1.529 (Omikron),0.05400606766830885,0.024537569253141378,0.09823744781770237
2021-12-17,B.1.1.7 (Alpha),1.8290247652480896e-4,7.666536975217094e-5,3.873750053476086e-4
2021-12-17,B.1.617.2 (Delta),0.945798071490317,0.9016561280508444,0.9752996502483641
2021-12-18,B.1.1.529 (Omikron),0.06566892621864119,0.030233952143861847,0.12073256002027391
2021-12-18,B.1.1.7 (Alpha),1.8224462091088702e-4,7.546915530925948e-5,3.912039403747233e-4
2021-12-18,B.1.617.2 (Delta),0.9341055385817009,0.8790032231372473,0.9696402470513426
2021-12-19,B.1.1.529 (Omikron),0.07932244902223791,0.037299879245563626,0.1476911660519099
2021-12-19,B.1.1.7 (Alpha),1.8063353162500037e-4,7.439082761993086e-5,3.9254965096502555e-4
2021-12-19,B.1.617.2 (Delta),0.9204329486670303,0.8521873860981144,0.9625852551867006
2021-12-20,B.1.1.529 (Omikron),0.0962414154465848,0.045710039773023105,0.1787998875527553
2021-12-20,B.1.1.7 (Alpha),1.7762210692939524e-4,7.211708322028791e-5,3.93978954846926e-4
2021-12-20,B.1.617.2 (Delta),0.9036111734497503,0.8210621375199895,0.9541856093097841
2021-12-21,B.1.1.529 (Omikron),0.11697709759477151,0.05611772581786176,0.21569494499257635
2021-12-21,B.1.1.7 (Alpha),1.760175709015355e-4,6.974451479358165e-5,3.962636736114206e-4
2021-12-21,B.1.617.2 (Delta),0.8828468113759214,0.7840706098506851,0.9435439618169738
2021-12-22,B.1.1.529 (Omikron),0.1404108800377014,0.06911446095227437,0.2584634800530869
2021-12-22,B.1.1.7 (Alpha),1.7244235986735892e-4,6.723966673427974e-5,3.9540881352316575e-4
2021-12-22,B.1.617.2 (Delta),0.8593489290644752,0.7413878047168081,0.9305747666615685
2021-12-23,B.1.1.529 (Omikron),0.16787600698341815,0.08373516755717739,0.3073191844898625
2021-12-23,B.1.1.7 (Alpha),1.6875399995124632e-4,6.408371089852111e-5,3.8766171138468746e-4
2021-12-23,B.1.617.2 (Delta),0.8320281813789235,0.6924460244007922,0.9161109803873373
2021-12-24,B.1.1.529 (Omikron),0.19901293485736327,0.1017648602340056,0.35909220324326363
2021-12-24,B.1.1.7 (Alpha),1.6349025640944215e-4,6.147820423261862e-5,3.784409046778108e-4
2021-12-24,B.1.617.2 (Delta),0.8007888663087364,0.6407566739186638,0.8980826354836813
2021-12-25,B.1.1.529 (Omikron),0.23602993294154861,0.12197332434230984,0.40975819391774204
2021-12-25,B.1.1.7 (Alpha),1.5595246747072668e-4,5.81477891650159e-5,3.7073386084051957e-4
2021-12-25,B.1.617.2 (Delta),0.7638726381028075,0.590045088052762,0.8777166470479681
2021-12-26,B.1.1.529 (Omikron),0.2766434352730424,0.14634536423850958,0.46690239828010077
2021-12-26,B.1.1.7 (Alpha),1.4930149292736766e-4,5.37271425499475e-5,3.6071854744320963e-4
2021-12-26,B.1.617.2 (Delta),0.7231706584179407,0.5329993090106304,0.8534081518242037
2021-12-27,B.1.1.529 (Omikron),0.3214974083263479,0.1743527811494237,0.5251519684039396
2021-12-27,B.1.1.7 (Alpha),1.4167351213331027e-4,4.980118294492467e-5,3.485667081735959e-4
2021-12-27,B.1.617.2 (Delta),0.6781107390790944,0.4747823186231805,0.8253260025673738
2021-12-28,B.1.1.529 (Omikron),0.37007732858689396,0.20097671846822054,0.5863830681489742
2021-12-28,B.1.1.7 (Alpha),1.3218033573321236e-4,4.667175769253737e-5,3.3269853698346044e-4
2021-12-28,B.1.617.2 (Delta),0.6298250138187385,0.41354349373797344,0.7988732439615709
2021-12-29,B.1.1.529 (Omikron),0.421500779046211,0.2339496554697742,0.6430999384990002
